[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,7640855.63,12/17/2024,1:01 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC407,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,330,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,309,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 E0,OVEN_HW_VERSION
INFO,OVN325,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,383,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Pb,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.93,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,7640896.29,2.11114335,9.68794727325439,-7.61504110358324E-5,1.83783042601204E-7,1,0.999253354069792,40.0298881530762,1.990395174503,12.3300002887845,-0.000839534443875363,-0.0001496986880643,0.25,-1.39381149540199E-7,-7.57855658072331E-5,-5.06122971697115E-7,2.1074917,2.114795,9.68794727325439,9.68794727325439,53.279708013371,19.1949270247685,6.699764,0,0,0,40,4370,2.1154,9.68794727325439,,,,,,,,,,,,,0,,,,1.016699,,,,,,2.11114335,,,,
,7640897.4,2.1191043,9.68794727325439,-7.60165778199003E-5,1.77644372691306E-7,1,0.999253354069792,40.0298881530762,1.98980771190525,12.3300002887845,-0.000837593787474188,-0.000150695819148933,0.25,-2.57248617330075E-7,-7.56518042599867E-5,-6.22781051903704E-7,2.114795,2.1234136,9.68794727325439,9.68794727325439,53.6306592185057,19.2041747199732,6.699764,0,0,0,40,4370,2.1246,9.68794727325439,,,,,,,,,,,,,0,,,,1.016699,,,,,,2.1191043,,,,
,7640898.64,2.1281735,9.68794727325439,-7.5800815933336E-5,1.77096860337428E-7,1,0.999253354069792,40.0298881530762,1.98987037979237,12.3300002887845,-0.00083516948865533,-0.000150680453251216,0.25,-2.93510613914834E-7,-7.54368996173586E-5,-6.57828634797631E-7,2.1234136,2.1329334,9.68794727325439,9.68794727325439,54.4380814788711,19.2115973253274,6.699764,0,0,0,40,4370,2.13755,9.68794727325439,,,,,,,,,,,,,0,,,,1.016699,,,,,,2.1281735,,,,
,7640899.74,2.1409427,9.68794727325439,-7.62261604410915E-5,2.25825998690338E-7,1,0.999253354069792,40.0298881530762,1.9897081271351,12.3300002887845,-0.000839871766426881,-0.000151054885499193,0.25,-2.53493819489556E-7,-7.58604035993034E-5,-6.20055406175896E-7,2.1329334,2.148952,9.68794727325439,9.68794727325439,53.7283627834095,19.2220029626816,6.333195,0,0,0,40,4370,2.14535,9.68794727325439,,,,,,,,,,,,,0,,,,1.016699,,,,,,2.1409427,,,,
,7640900.665,2.148952,9.68794727325439,-7.63956045948145E-5,2.242847696791E-7,1,0.999253354069792,40.0298881530762,1.9902303457984,12.3300002887845,-0.000842500748646444,-0.000148301225208673,0.25,2.95336482464691E-8,-7.60304032914314E-5,-3.39198982021667E-7,2.148952,2.148952,9.68794727325439,9.68794727325439,53.6916262430057,19.2083060810431,6.333195,0,0,0,40,4370,2.1518,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.148952,,,,
,7640901.65,2.15614475,9.68794727325439,-7.64581692046056E-5,1.68381595633391E-7,1,0.999253354069792,40.0298881530762,1.99058477511441,12.3300002887845,-0.00084277923160949,-0.000151590380460102,0.25,-2.55370345115159E-7,-7.60912943925111E-5,-6.23042352198599E-7,2.148952,2.1633375,9.68794727325439,9.68794727325439,52.6911417383902,19.2015744375917,6.333195,0,0,0,40,4370,2.16165,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.15614475,,,,
,7640902.69,2.1633375,9.68794727325439,-7.6092375819104E-5,1.66448379207649E-7,1,0.999253354069792,40.0298881530762,1.99026167935037,12.3300002887845,-0.000838106047542152,-0.000153741412725658,0.25,-5.17088630208382E-7,-7.57259878802905E-5,-8.8174416642076E-7,2.1633375,2.1633375,9.68794727325439,9.68794727325439,53.4071134620056,19.2056169375267,6.333195,0,0,0,40,4370,2.1688,9.68794727325439,,,,,,,,,,,,,0,,,,1.02180275,,,,,,2.1633375,,,,
,7640903.715,2.16724185,9.68794727325439,-7.62910268151672E-5,1.73322985115737E-7,1,0.999253354069792,40.0298881530762,1.99162809695764,12.3300002887845,-0.000841792583814551,-0.000148861893528878,0.25,-3.07420712620468E-8,-7.59260355432942E-5,-3.98681887110961E-7,2.1633375,2.1711462,9.68794727325439,9.68794727325439,53.3563076082556,19.1860851877861,6.333195,0,0,0,40,4370,2.17505,9.68794727325439,,,,,,,,,,,,,0,,,,1.0269065,,,,,,2.16724185,,,,
,7640904.79,2.17996445,9.68794727325439,-7.63715567105401E-5,1.79709875962924E-7,1,0.999253354069792,40.0298881530762,1.99221167645771,12.3300002887845,-0.000842928014482568,-0.000148993296295241,0.25,-2.46785218911555E-8,-7.60062100833664E-5,-3.9303587617644E-7,2.1711462,2.1887827,9.68794727325439,9.68794727325439,54.1238668141403,19.1814267170089,6.333195,0,0,0,40,4370,2.18685,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.17996445,,,,
,7640905.86,2.19400705,9.68794727325439,-7.65850277356925E-5,2.14061588313983E-7,1,0.999253354069792,40.0298881530762,1.99151816989425,12.3300002887845,-0.000844406755912596,-0.000152746119742287,0.25,-3.31599813037873E-7,-7.62171799655552E-5,-6.99519348429226E-7,2.1887827,2.1992314,9.68794727325439,9.68794727325439,53.127290452121,19.1866809023911,6.333195,0,0,0,40,4370,2.19785,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.19400705,,,,
